transaction_id,user_id,date,merchant,category,amount,currency,payment_mode,type,user_profile
8a0f4efb-edcd-465e-b638-6821f6e07cc0,demo_user_001,2025-01-04,Amazon Prime,entertainment,2388.32,INR,Wallet,debit,young_professional
fec21bbe-6624-4bfa-8fcc-a39ab683d2e6,demo_user_001,2025-06-02,Online Courses,education,18465.37,INR,Wallet,debit,young_professional
7394988f-847f-49b4-a64d-1bcb702753a1,demo_user_001,2025-06-16,Mutual Fund SIP,investments,119189.83,INR,Card,debit,young_professional
568cc69b-1064-405c-b985-c3cf3f76be1d,demo_user_001,2025-01-26,Petrol Pump,transportation,781.75,INR,Cash,debit,young_professional
96a402f2-3ae8-4c93-8dcd-cd03969b6662,demo_user_001,2024-11-01,Freelance Income,salary,438079.7,INR,UPI,credit,young_professional
a18ff6b6-b535-406e-922c-9a5601d74256,demo_user_001,2024-09-17,Domino's,food_dining,1829.27,INR,NetBanking,debit,young_professional
080aadfb-e7c9-4b26-9141-25c63a9bedd4,demo_user_001,2024-12-22,McDonald's,food_dining,1158.43,INR,UPI,debit,young_professional
474a493b-3ced-4f2d-839f-bc501223b513,demo_user_001,2025-06-18,Water Bill,utilities,4377.23,INR,NetBanking,debit,young_professional
b92da22b-21df-406f-8a0b-3c3336d8393a,demo_user_001,2025-02-01,Car Insurance,insurance,10335.57,INR,Card,debit,young_professional
ceb81f9d-7914-4120-88dc-d19f3e351128,demo_user_001,2024-10-09,Car Insurance,insurance,36352.13,INR,NetBanking,debit,young_professional
a8b317fa-18d0-452b-9825-bc5430beb45f,demo_user_001,2025-02-07,Mutual Fund SIP,investments,18981.27,INR,NetBanking,debit,young_professional
778eedb3-693d-4fbc-ac6f-a6115ab33edf,demo_user_001,2024-10-25,BookMyShow,entertainment,876.61,INR,UPI,debit,young_professional
a56c0941-fbf2-4050-a748-dbcfac619e63,demo_user_001,2024-11-12,KFC,food_dining,1967.51,INR,Card,debit,young_professional
56dc8907-ba6c-44ab-a712-303a0f844fef,demo_user_001,2025-05-19,Petrol Pump,transportation,1194.9,INR,NetBanking,debit,young_professional
894a05e4-30b1-47ef-b10c-0c003fa7f104,demo_user_001,2025-04-25,Car Insurance,insurance,18442.51,INR,Wallet,debit,young_professional
474ebc19-2ef9-4276-ac00-6f6123e2fcb4,demo_user_001,2024-09-02,Amazon Prime,entertainment,1348.88,INR,NetBanking,debit,young_professional
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,demo_user_001,2025-04-07,FD,investments,71834.06,INR,Card,debit,young_professional
8ce21ea3-db20-456e-9c81-5fe7ceda8bbb,demo_user_001,2024-11-01,McDonald's,food_dining,280.43,INR,Card,debit,young_professional
8a63f881-ffd0-49d5-a6f2-f7b80cf35b58,demo_user_001,2024-08-14,Company Payroll,salary,52471.54,INR,UPI,credit,young_professional
c0e9ab30-ed26-42e9-97e0-11b7f8102383,demo_user_001,2025-02-23,BookMyShow,entertainment,2861.44,INR,UPI,debit,young_professional
7b3a4e3e-7c52-4a17-a80a-c07a2a935d62,demo_user_001,2024-12-06,Life Insurance,insurance,13212.29,INR,Card,debit,young_professional
0f02bad0-e706-4ef4-a6aa-9385dd59ba71,demo_user_001,2024-10-23,Life Insurance,insurance,29296.79,INR,Wallet,debit,young_professional
63f2ae24-fc3d-4348-808d-4127610461e3,demo_user_001,2025-01-15,Mutual Fund SIP,investments,123677.6,INR,Card,debit,young_professional
